Product_name,Product_url,Product_price,Product_price_url,Product_ratings,Noise_Cancelling,Extracted_Manufacturer,Consolidated_Manufacturer,Star_Rating,Product_price_clean,Price_Low,Price_Mid,Price_High,price_range_low,price_range_mid,price_range_high
"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM3LMJF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-1,"29
.",https://www.amazon.com/JBL-Tune-510BT-Ear-Headphones/dp/B08WM3LMJF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-1,4.5 out of 5 stars,0,JBL,JBL,Two_Star,29.0,1,0,0,1,0,0
"Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Personalized Spatial Audio, USB-C Lossless Audio, Apple & Android Compatibility, Up to 40 Hours Battery Life - Black",https://www.amazon.com/Beats-Studio-Pro-Personalized-Compatibility/dp/B0C8PR4W22/ref=sr_1_2?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-2,"169
.",https://www.amazon.com/Beats-Studio-Pro-Personalized-Compatibility/dp/B0C8PR4W22/ref=sr_1_2?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-2,4.5 out of 5 stars,0,Beats,Beats,Two_Star,169.0,0,0,1,0,0,1
"DOQAUS Bluetooth Headphones Over Ear, 90 Hours Playtime Wireless Headphones, 3 EQ Modes,HiFi Stereo Headphones with Microphone and Soft Protein Earpads for iPhone/TV/PC/Home Office (Black-Brown)",https://www.amazon.com/DOQAUS-Bluetooth-Headphones-Microphone-Black-Brown/dp/B0B5SZQZ2Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-4,"19
.",https://www.amazon.com/DOQAUS-Bluetooth-Headphones-Microphone-Black-Brown/dp/B0B5SZQZ2Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-4,4.4 out of 5 stars,0,DOQAUS,DOQAUS,,19.0,1,0,0,1,0,0
"ZIHNIC S05 Open-Ear earhooks, All-Day Comfort, 28H Battery with prolonged Wearing, IPX5 Waterproof, Compatible with Different Bluetooth Devices-White",https://www.amazon.com/ZIHNIC-prolonged-Waterproof-Compatible-Devices-White/dp/B0DBKSQL64/ref=sr_1_7?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-7,"39
.",https://www.amazon.com/ZIHNIC-prolonged-Waterproof-Compatible-Devices-White/dp/B0DBKSQL64/ref=sr_1_7?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-7,4.0 out of 5 stars,0,ZIHNIC,ZIHNIC,,39.0,0,1,0,0,1,0
"JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Blue)",https://www.amazon.com/JBL-Tune-520BT-Ear-Lightweight/dp/B0CGMV5TMR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-9,"34
.",https://www.amazon.com/JBL-Tune-520BT-Ear-Lightweight/dp/B0CGMV5TMR/ref=sr_1_9?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-9,4.5 out of 5 stars,0,JBL,JBL,Two_Star,34.0,0,1,0,0,1,0
"Picun B8 Bluetooth Headphones, 120H Playtime Headphones Wireless Bluetooth with 3 EQ Modes, Low Latency, Hands-Free Calls, Over Ear Headphones for Travel Home Office Cellphone PC Black",https://www.amazon.com/Picun-B8-Bluetooth-Headphones-Hands-Free/dp/B0CFV9XR2Q/ref=sr_1_10?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-10,"21
.",https://www.amazon.com/Picun-B8-Bluetooth-Headphones-Hands-Free/dp/B0CFV9XR2Q/ref=sr_1_10?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-10,4.5 out of 5 stars,0,Picun,Picun,,21.0,1,0,0,1,0,0
"Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-11,"49
.",https://www.amazon.com/Soundcore-Cancelling-Headphones-Wireless-Bluetooth/dp/B07NM3RSRQ/ref=sr_1_11?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-11,4.5 out of 5 stars,0,Soundcore,Soundcore,One_Star,49.0,0,1,0,0,1,0
"Uliptz Wireless Bluetooth Headphones, 65H Playtime, 6 EQ Sound Modes, HiFi Stereo Over Ear Headphones with Microphone, Foldable Lightweight Bluetooth 5.3 Headphones for Travel/Office/Cellphone/PC",https://www.amazon.com/Uliptz-Bluetooth-Headphones-Microphone-Lightweight/dp/B09NNBBY8F/ref=sr_1_12?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-12,"17
.",https://www.amazon.com/Uliptz-Bluetooth-Headphones-Microphone-Lightweight/dp/B09NNBBY8F/ref=sr_1_12?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-12,4.5 out of 5 stars,0,Uliptz,Uliptz,,17.0,1,0,0,1,0,0
"JBL Tune 670NC - Adaptive Noise Cancelling with Smart Ambient Wireless On-Ear Headphones, Up to 70H Battery Life with Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",https://www.amazon.com/JBL-TUNE-670NC-Ear-Lightweight/dp/B0CT9MB4WR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-15,"59
.",https://www.amazon.com/JBL-TUNE-670NC-Ear-Lightweight/dp/B0CT9MB4WR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-15,4.5 out of 5 stars,0,JBL,JBL,Two_Star,59.0,0,0,1,0,0,1
"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Matte Black",https://www.amazon.com/Beats-Solo-Wireless-Headphones-Matte/dp/B0CZPLV566/ref=sr_1_16?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-16,"99
.",https://www.amazon.com/Beats-Solo-Wireless-Headphones-Matte/dp/B0CZPLV566/ref=sr_1_16?dib=eyJ2IjoiMSJ9.d3YLypbaIRr6TW7htNWWseBeR6wsSMkzPVEotHWuGHmyilhSafln0oNr6e9N_hgnN9vuIoD-u3nTJqNlJDZrwq9jkkpoSJLJIZh8Qygettmk4YMt6oliydzSiQ2wi8BSWH86tZjpCdt-nu8SFdpb7vhMXo6U7khdSwnKvpw_qZwYa8s-F35CwEAUtUO8hRI9eK_oqgQAdIk52YN6T0ULoOfkTit7h0QVSNp-fmLTbL0.GzYaN1vTfMYd_BDIZMIJfFWjkyHOPm1PgYhelcEJaYY&dib_tag=se&keywords=bluetooth+headphones&qid=1734910458&sr=8-16,4.5 out of 5 stars,0,Beats,Beats,Two_Star,99.0,0,0,1,0,0,1
